전극,층,조직위,자극전극거리um,자극전극여부,구간,펄스번호,자극시각ms,기울기uV_per_ms,진폭uV,피크시각ms,기울기_교차시각,기울기_옛표본회귀,띠표본수
7,SO,1,600.0,0,post,1,1600.0,-0.000126122542138905,-2.143407861390778e-05,1600.8000000000002,-0.000126122542138905,-6.146728984777349e-06,1
7,SO,1,600.0,0,post,2,1800.0,-0.00034614691082575583,-5.846718947091767e-05,1800.8000000000002,-0.00034614691082575583,-1.674517987065102e-05,1
7,SO,1,600.0,0,post,3,2000.0,-0.0003346465544873106,-5.65163791179657e-05,2000.8000000000002,-0.0003346465544873106,-1.6186386326580353e-05,1
7,SO,1,600.0,0,post,4,2200.0,-0.0003287368757025404,-5.5480748414993286e-05,2200.8,-0.0003287368757025404,-1.5888363103076e-05,1
8,SLM,1,824.6,0,base,1,200.0,-0.037848654236898274,-0.07623664538065622,204.4,-0.037848654236898274,-0.03293097019195707,3
8,SLM,1,824.6,0,base,2,400.0,-0.04904866271988477,-0.09771343072255423,404.40000000000003,-0.04904866271988477,-0.041741728782650325,3
8,SLM,1,824.6,0,base,3,600.0,-0.052484367681426156,-0.10406414667765329,604.4,-0.052484367681426156,-0.04435777664185346,3
8,SLM,1,824.6,0,post,1,1600.0,-0.05863633434842414,-0.11513888835906982,1604.4,-0.05863633434842414,-0.04888057708741031,3
8,SLM,1,824.6,0,post,2,1800.0,-0.05568026046799762,-0.10988724231719971,1804.4,-0.05568026046799762,-0.04674971103670697,3
8,SLM,1,824.6,0,post,3,2000.0,-0.054794640230972295,-0.10828240712483694,2004.4,-0.054794640230972295,-0.04609167575839574,3
8,SLM,1,824.6,0,post,4,2200.0,-0.05450087164502576,-0.10774699846903513,2204.4,-0.05450087164502576,-0.04587233066557301,3
9,SR,1,632.5,0,base,1,200.0,-0.05890576738511369,-0.12551246086756374,204.8,-0.05890576738511369,-0.052424669265749464,3
9,SR,1,632.5,0,base,2,400.0,-0.07632980145061992,-0.1597830057144165,404.8,-0.07632980145061992,-0.06636679172515315,3
9,SR,1,632.5,0,base,3,600.0,-0.081729891020746,-0.1700645089149475,604.8000000000001,-0.081729891020746,-0.07053226232529926,3
9,SR,1,632.5,0,post,1,1600.0,-0.09143092387535116,-0.18802320957183838,1604.8000000000002,-0.09143092387535116,-0.07774561643601749,3
9,SR,1,632.5,0,post,2,1800.0,-0.0867660143819725,-0.1795082688331604,1804.8000000000002,-0.0867660143819725,-0.07434487342838456,3
9,SR,1,632.5,0,post,3,2000.0,-0.08537006811991679,-0.1769060889879861,2004.8000000000002,-0.08537006811991679,-0.07329612970357591,3
9,SR,1,632.5,0,post,4,2200.0,-0.0849058461017153,-0.17603754997253418,2204.8,-0.0849058461017153,-0.07294565439221792,3
10,SR,1,447.2,0,base,1,200.0,-0.05260485018090666,-0.15640511115392042,205.60000000000002,-0.05260485018090666,-0.047939181327820435,4
10,SR,1,447.2,0,base,2,400.0,-0.06797155206517352,-0.19774879018465685,405.6,-0.06797155206517352,-0.06036540865897867,4
10,SR,1,447.2,0,base,3,600.0,-0.0727130896647426,-0.21003072460492445,605.6,-0.0727130896647426,-0.06403961777687785,4
10,SR,1,447.2,0,post,1,1600.0,-0.08119418844434674,-0.23143088817596436,1605.6000000000001,-0.08119418844434674,-0.07036200165745574,4
10,SR,1,447.2,0,post,2,1800.0,-0.07712470463736698,-0.22126495838165283,1805.6000000000001,-0.07712470463736698,-0.06738266348835635,4
10,SR,1,447.2,0,post,3,2000.0,-0.07590280474887716,-0.21817254026730848,2005.6000000000001,-0.07590280474887716,-0.06646487116812248,4
10,SR,1,447.2,0,post,4,2200.0,-0.07549645337407149,-0.21714039643605543,2205.6,-0.07549645337407149,-0.06615799665456217,4
11,SR,1,282.8,0,base,1,200.0,-0.027252615060783622,-0.08517255882422126,210.0,-0.027252615060783622,-0.026132464408874297,5
11,SR,1,282.8,0,base,2,400.0,-0.03426977294202342,-0.10495408376057946,409.6,-0.03426977294202342,-0.03510358929634139,5
11,SR,1,282.8,0,base,3,600.0,-0.03647325217781682,-0.11056212584177649,609.6,-0.03647325217781682,-0.03603520989417561,5
11,SR,1,282.8,0,post,1,1600.0,-0.04041588008170069,-0.12026087939739227,1609.2,-0.04041588008170069,-0.041119351983087735,4
11,SR,1,282.8,0,post,2,1800.0,-0.03857039598231529,-0.11551499366760254,1809.6000000000001,-0.03857039598231529,-0.03677541017534594,5
11,SR,1,282.8,0,post,3,2000.0,-0.03797955051520684,-0.11416371166706085,2009.6000000000001,-0.03797955051520684,-0.036578014492997635,5
11,SR,1,282.8,0,post,4,2200.0,-0.037785728511385425,-0.11371268332004547,2209.6,-0.037785728511385425,-0.036511898040769084,5
12,SP,1,200.0,0,base,1,200.0,-0.1327538996245765,-0.09030311803023022,201.60000000000002,-0.1327538996245765,-0.056593455338869156,1
12,SP,1,200.0,0,base,2,400.0,-0.17689632869669103,-0.12934317191441852,401.6,-0.17689632869669103,-0.08081749076560425,1
12,SP,1,200.0,0,base,3,600.0,-0.19207429900291315,-0.14252037058273953,601.6,-0.19207429900291315,-0.0890341959337227,1
12,SP,1,200.0,0,post,1,1600.0,-0.22029622391841047,-0.1666135887304942,1601.6000000000001,-0.22029622391841047,-0.10414442040966854,1
12,SP,1,200.0,0,post,2,1800.0,-0.2068328376084922,-0.15524256229400635,1801.6000000000001,-0.2068328376084922,-0.0969779118289336,1
12,SP,1,200.0,0,post,3,2000.0,-0.20269477996900295,-0.15168602516253787,2001.6000000000001,-0.20269477996900295,-0.09475585067309601,1
12,SP,1,200.0,0,post,4,2200.0,-0.20132268914264725,-0.15050388375918072,2201.6,-0.20132268914264725,-0.09401785203899389,1
13,SP,1,282.8,0,base,1,200.0,0.0,0.00019940982262295348,200.0,0.0,0.0,0
13,SP,1,282.8,0,base,2,400.0,-0.001526897113429657,-0.00025960803031921387,400.8,-0.001526897113429657,-7.443130007022886e-05,1
13,SP,1,282.8,0,base,3,600.0,-0.0022150687736486436,-0.0003749951720237732,600.8000000000001,-0.0022150687736486436,-0.00010743737207333573,1
13,SP,1,282.8,0,post,1,1600.0,-0.0009555548827741419,-0.00016120821237564087,1600.8000000000002,-0.0009555548827741419,-4.6156346740237186e-05,1
13,SP,1,282.8,0,post,2,1800.0,-0.002694383354476931,-0.00045409053564071655,1800.8000000000002,-0.002694383354476931,-0.00013001263125377545,1
13,SP,1,282.8,0,post,3,2000.0,-0.0026016361577400667,-0.0004390527804692401,2000.8000000000002,-0.0026016361577400667,-0.00012572854741590034,1
13,SP,1,282.8,0,post,4,2200.0,-0.002555523067714423,-0.00043079257011413574,2200.8,-0.002555523067714423,-0.0001233443616278655,1
14,SO,1,447.2,0,base,1,200.0,0.0,0.00012880812088650329,200.0,0.0,0.0,0
14,SO,1,447.2,0,base,2,400.0,-0.0009017971867171913,-0.00015288094679516417,400.8,-0.0009017971867171913,-4.380941385514972e-05,1
14,SO,1,447.2,0,base,3,600.0,-0.0012949170346784947,-0.00021922091643017394,600.8000000000001,-0.0012949170346784947,-6.280839435355202e-05,1
14,SO,1,447.2,0,post,1,1600.0,-0.0005898240636846219,-9.987006584805114e-05,1600.8000000000002,-0.0005898240636846219,-2.861022945641821e-05,1
14,SO,1,447.2,0,post,2,1800.0,-0.0015707985664912363,-0.00026467442512512207,1800.8000000000002,-0.0015707985664912363,-7.57724045759826e-05,1
14,SO,1,447.2,0,post,3,2000.0,-0.0015187735206012478,-0.00025583306948345763,2000.8000000000002,-0.0015187735206012478,-7.323920717619557e-05,1
14,SO,1,447.2,0,post,4,2200.0,-0.001488988450786348,-0.00025110443433123963,2200.8,-0.001488988450786348,-7.189810267042596e-05,1
15,SO,1,632.5,0,base,1,200.0,0.0,4.368772109350494e-05,200.0,0.0,0.0,0
15,SO,1,632.5,0,base,2,400.0,-0.0004446228896878142,-7.555882136026093e-05,400.8,-0.0004446228896878142,-2.166256305847752e-05,1
15,SO,1,632.5,0,base,3,600.0,-0.0006217835200827778,-0.00010544061660766602,600.8000000000001,-0.0006217835200827778,-3.0212104282758418e-05,1
15,SO,1,632.5,0,post,1,1600.0,-0.00029606491742709866,-4.978105425834656e-05,1600.8000000000002,-0.00029606491742709866,-1.4249235373802038e-05,1
15,SO,1,632.5,0,post,2,1800.0,-0.0007519211354316252,-0.0001272534330686026,1800.8000000000002,-0.0007519211354316252,-3.6451965524876583e-05,1
15,SO,1,632.5,0,post,3,2000.0,-0.0007253053934172897,-0.0001229817668596811,2000.8000000000002,-0.0007253053934172897,-3.5241246179390136e-05,1
15,SO,1,632.5,0,post,4,2200.0,-0.0007120885121564351,-0.0001207018891970224,2200.8,-0.0007120885121564351,-3.458932037797436e-05,1
16,SLM,1,894.4,0,base,1,200.0,-0.0444302752327024,-0.09039503335952759,204.4,-0.0444302752327024,-0.03990471363067809,3
16,SLM,1,894.4,0,base,2,400.0,-0.057178523329950465,-0.11486899852752686,404.40000000000003,-0.057178523329950465,-0.0507298111915546,3
16,SLM,1,894.4,0,base,3,600.0,-0.061150649824606766,-0.12249906857808446,604.4,-0.061150649824606766,-0.05402892827988617,3
16,SLM,1,894.4,0,post,1,1600.0,-0.06826260260647038,-0.1359672347704568,1604.4,-0.06826260260647038,-0.059786140918741494,3
16,SLM,1,894.4,0,post,2,1800.0,-0.064850779026152,-0.1295757293701172,1804.4,-0.064850779026152,-0.05706757307055651,3
16,SLM,1,894.4,0,post,3,2000.0,-0.06382656684185282,-0.12762262423833226,2004.4,-0.06382656684185282,-0.05623042583469717,3
16,SLM,1,894.4,0,post,4,2200.0,-0.06348579500729476,-0.12697100639343262,2204.4,-0.06348579500729476,-0.05595088005064041,3
17,SR,1,721.1,0,base,1,200.0,-0.09487726295689113,-0.18979090452194214,204.4,-0.09487726295689113,-0.08283302187919994,3
17,SR,1,721.1,0,base,2,400.0,-0.12233186960750961,-0.24321001768112183,404.40000000000003,-0.12233186960750961,-0.10563507676123689,3
17,SR,1,721.1,0,base,3,600.0,-0.130809219258624,-0.2595747411251068,604.4,-0.130809219258624,-0.11254742741586747,3
17,SR,1,721.1,0,post,1,1600.0,-0.145946030555154,-0.28837434450785326,1604.4,-0.145946030555154,-0.12459248304369099,3
17,SR,1,721.1,0,post,2,1800.0,-0.1386887909557432,-0.27470603585243225,1804.4,-0.1386887909557432,-0.11890888214117637,3
17,SR,1,721.1,0,post,3,2000.0,-0.13650819393456703,-0.2705297569433849,2004.4,-0.13650819393456703,-0.11715650558480291,3
17,SR,1,721.1,0,post,4,2200.0,-0.1357825388024161,-0.26913678646087646,2204.4,-0.1357825388024161,-0.11657118797298338,3
18,SR,1,565.7,0,base,1,200.0,-0.21461831385123586,-0.4972795943419138,204.8,-0.21461831385123586,-0.21546922624112158,3
18,SR,1,565.7,0,base,2,400.0,-0.27449955719450136,-0.6397765129804611,404.8,-0.27449955719450136,-0.2758205682039031,3
18,SR,1,565.7,0,base,3,600.0,-0.2927017864548825,-0.6833469818035761,604.8000000000001,-0.2927017864548825,-0.2941751480103055,3
18,SR,1,565.7,0,post,1,1600.0,-0.32465910201887377,-0.7600015153487524,1604.8000000000002,-0.32465910201887377,-0.3262136131525592,3
18,SR,1,565.7,0,post,2,1800.0,-0.3094837378592896,-0.723643496632576,1804.8000000000002,-0.3094837378592896,-0.31109437346475344,3
18,SR,1,565.7,0,post,3,2000.0,-0.3048551273425234,-0.7125194718440374,2004.8000000000002,-0.3048551273425234,-0.3064309805633918,3
18,SR,1,565.7,0,post,4,2200.0,-0.30331115217804505,-0.7088090827067693,2204.8,-0.30331115217804505,-0.304873585700886,3
19,SP,1,447.2,0,base,1,200.0,-0.5087925461199088,-0.9387429654598236,204.4,-0.5087925461199088,-0.4658102989196989,3
19,SP,1,447.2,0,base,2,400.0,-0.6812134117595408,-1.2298718181749184,404.0,-0.6812134117595408,-0.6122668087481942,3
19,SP,1,447.2,0,base,3,600.0,-0.7369970565584748,-1.3210649974644184,604.0,-0.7369970565584748,-0.6582189351321416,3
19,SP,1,447.2,0,post,1,1600.0,-0.8398517796734227,-1.4842138327658176,1604.0,-0.8398517796734227,-0.7405123114587067,3
19,SP,1,447.2,0,post,2,1800.0,-0.790017112401707,-1.406254816800356,1804.0,-0.790017112401707,-0.7011821866039157,3
19,SP,1,447.2,0,post,3,2000.0,-0.775228330308005,-1.3826470610996087,2004.0,-0.775228330308005,-0.6892736256127634,3
19,SP,1,447.2,0,post,4,2200.0,-0.7703262072573593,-1.37479089324673,2204.0,-0.7703262072573593,-0.6853111833331675,3
