variant,post,pre,component,receptor,e_rev_mV,tau_rise_ms,tau_decay_ms,compartment,mechanism,section_list,distance_1,distance_2,port_name
120,O_LM,PV_Basket,A,GABA_A_fast,-60.0,1.0,8.0,soma,MyExp2Sid,soma_list,distance(x)>-1,distance(x)<1000,GABA_A_fast__em60__tr1__td8__soma
120,O_LM,SCA,A,GABA_A_slow,-60.0,1.0,8.0,dend,MyExp2Sid,dendrite_list,distance(x)>50,distance(x)<200,GABA_A_slow__em60__tr1__td8__dend
120,Pyramidal,CA3,A,AMPA_fast,0.0,0.5,3.0,dend,MyExp2Sid,dendrite_list,distance(x)>50,distance(x)<200,AMPA_fast__e0__tr0p5__td3__dend
120,Pyramidal,ECIII,A,AMPA_slow,0.0,0.5,3.0,dend,MyExp2Sid,dendrite_list,distance(x)>200,distance(x)<1000,AMPA_slow__e0__tr0p5__td3__dend
120,Pyramidal,Axo,A,GABA_A_fast,-60.0,0.28,8.4,soma,MyExp2Sid,axon_list,distance(x)>-1,distance(x)<1000,GABA_A_fast__em60__tr0p28__td8p4__soma
120,Pyramidal,Bistratified,A,GABA_A_slow,-60.0,0.11,9.7,dend,MyExp2Sid,dendrite_list,distance(x)>50,distance(x)<200,GABA_A_slow__em60__tr0p11__td9p7__dend
120,Pyramidal,CCK_Basket,A,GABA_A_slow,-60.0,0.2,4.2,dend,MyExp2Sid,dendrite_list,distance(x)>-1,distance(x)<50,GABA_A_slow__em60__tr0p2__td4p2__dend
120,Pyramidal,CCK_Basket,A,GABA_A_slow,-60.0,0.2,4.2,soma,MyExp2Sid,soma_list,distance(x)>-1,distance(x)<1000,GABA_A_slow__em60__tr0p2__td4p2__soma
120,Pyramidal,Ivy,A,GABA_A_slow,-60.0,1.1,11.0,dend,MyExp2Sid,dendrite_list,distance(x)>50,distance(x)<200,GABA_A_slow__em60__tr1p1__td11__dend
120,Pyramidal,Neurogliaform,A,GABA_A_slow,-60.0,9.0,39.0,dend,ExpGABAab,apical_list,distance(x)>200,distance(x)<1000,GABA_A_slow__em60__tr9__td39__dend
120,Pyramidal,Neurogliaform,B,GABA_B,-90.0,180.0,200.0,dend,ExpGABAab,apical_list,distance(x)>200,distance(x)<1000,GABA_B__em90__tr180__td200__dend
120,Pyramidal,O_LM,A,GABA_A_slow,-60.0,0.13,11.0,dend,MyExp2Sid,apical_list,distance(x)>200,distance(x)<1000,GABA_A_slow__em60__tr0p13__td11__dend
