전극,층,조직위,자극전극거리um,자극전극여부,구간,펄스번호,자극시각ms,기울기uV_per_ms,진폭uV,피크시각ms,기울기_교차시각,기울기_옛표본회귀,띠표본수
14,SO,1,447.2,0,base,2,400.0,-0.006907957101812609,-0.001123386124769865,400.8,-0.006907957101812609,-0.0003200396891408089,1
14,SO,1,447.2,0,base,3,600.0,-0.007107968355407512,-0.001171886920928955,600.8000000000001,-0.007107968355407512,-0.0003344938154807495,1
14,SO,1,447.2,0,post,1,1600.0,-0.006798719435296541,-0.001150545974572481,1600.8000000000002,-0.006798719435296541,-0.00032961368519581814,1
14,SO,1,447.2,0,post,2,1800.0,-0.0205105274342382,-0.003062119086583437,1800.8000000000002,-0.0205105274342382,-0.0008626282204333594,1
14,SO,1,447.2,0,post,3,2000.0,-0.021309912951659512,-0.0031626870234807147,2000.8000000000002,-0.021309912951659512,-0.0008903071273163265,1
14,SO,1,447.2,0,post,4,2200.0,-0.02135193053241631,-0.003169029951095581,2200.8,-0.02135193053241631,-0.0008920952666573526,1
15,SO,1,632.5,0,base,1,200.0,0.0,4.368772109350494e-05,200.0,0.0,0.0,0
15,SO,1,632.5,0,base,2,400.0,-0.003211607877941183,-0.0005202057460943765,400.8,-0.003211607877941183,-0.0001481175420816967,1
15,SO,1,632.5,0,base,3,600.0,-0.003312634247039328,-0.0005420135955015726,600.8000000000001,-0.003312634247039328,-0.00015454366783849974,1
15,SO,1,632.5,0,post,1,1600.0,-0.0033523559941362894,-0.0005711590250333243,1600.8000000000002,-0.0033523559941362894,-0.00016378238776711284,1
15,SO,1,632.5,0,post,2,1800.0,-0.010522388363777144,-0.0015447636445363455,1800.8000000000002,-0.010522388363777144,-0.0004342757160002543,1
15,SO,1,632.5,0,post,3,2000.0,-0.01094630919255858,-0.001599431037902832,2000.8000000000002,-0.01094630919255858,-0.0004493817681416313,1
15,SO,1,632.5,0,post,4,2200.0,-0.010970120305653157,-0.0016023454566796713,2200.8,-0.010970120305653157,-0.0004501827055547993,1
