전극,층,조직위,자극전극거리um,자극전극여부,구간,펄스번호,자극시각ms,기울기uV_per_ms,진폭uV,피크시각ms,기울기_교차시각,기울기_옛표본회귀,띠표본수
8,SLM,1,824.6,0,post,2,1800.0,-0.176261866749459,-0.29788819948832224,1804.4,-0.176261866749459,-0.1444303989411969,2
8,SLM,1,824.6,0,post,3,2000.0,-0.17625426004779965,-0.29788482189178467,2004.4,-0.17625426004779965,-0.14442324638379783,2
8,SLM,1,824.6,0,post,4,2200.0,-0.1762536208962519,-0.2978849013646441,2204.4,-0.1762536208962519,-0.14442324638372842,2
9,SR,1,632.5,0,base,1,200.0,-0.2824975357184574,-0.48941979805628444,204.4,-0.2824975357184574,-0.22948741912845,2
9,SR,1,632.5,0,base,2,400.0,-0.2822302247937563,-0.4879218737284341,404.40000000000003,-0.2822302247937563,-0.2287101745605385,2
9,SR,1,632.5,0,base,3,600.0,-0.28222849794906846,-0.48784810304641724,604.4,-0.28222849794906846,-0.22868037223825768,2
9,SR,1,632.5,0,post,1,1600.0,-0.2825250909922763,-0.48837234576543187,1604.4,-0.2825250909922763,-0.22913515567794562,2
9,SR,1,632.5,0,post,2,1800.0,-0.2822342174093723,-0.4878431955973306,1804.4,-0.2822342174093723,-0.22868633270288516,2
9,SR,1,632.5,0,post,3,2000.0,-0.2822268484295677,-0.48784130811691284,2004.4,-0.2822268484295677,-0.2286773920061275,2
9,SR,1,632.5,0,post,4,2200.0,-0.28222570493054205,-0.48784124851226807,2204.4,-0.28222570493054205,-0.22867739200601758,2
10,SR,1,447.2,0,base,1,200.0,-0.2547827637514548,-0.5942404468854268,206.0,-0.2547827637514548,-0.26448047161102745,4
10,SR,1,447.2,0,base,2,400.0,-0.25125398233688534,-0.596979667743047,406.0,-0.25125398233688534,-0.2635509073734091,4
10,SR,1,447.2,0,base,3,600.0,-0.2511729940755878,-0.5969786643981934,606.0,-0.2511729940755878,-0.2635117173195273,4
10,SR,1,447.2,0,post,1,1600.0,-0.2517347681568513,-0.5968804657459259,1606.0,-0.2517347681568513,-0.2637802362441156,4
10,SR,1,447.2,0,post,2,1800.0,-0.2511442424074249,-0.596984326839447,1806.0,-0.2511442424074249,-0.2634995579717851,4
10,SR,1,447.2,0,post,3,2000.0,-0.2511644677906358,-0.596970687309901,2006.0,-0.2511644677906358,-0.263505339622344,4
10,SR,1,447.2,0,post,4,2200.0,-0.2511661240726757,-0.5969662368297577,2206.0,-0.2511661240726757,-0.2635048925875075,4
11,SR,1,282.8,0,base,1,200.0,-0.11588578339907006,-0.30145307878653205,206.8,-0.11588578339907006,-0.091659486293778,4
